ID,Post,Labels,Simple_Labels,SubCategory,"Simple_Labels,SubCategory",,
22,આનંદનગર વેજલપુર થલતેજ વસ્ત્રાપુર બોડકદેવ શિવરંજની જોધપુર જીવરાજ પાર્ક બાપુનગર સરસપુર કાલુપુર વહેલી વરસાદ વરસી રહ્યો છે,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
23,"આને કોઈ ફેકો પાકિસ્તાન બાજુ આની સકલ જોવાનુ પણ પસંદ નથી, ગંદો બયરો છે, આવા લોકો ધરતી નો બોઝ છે","""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
24,પેલા તૉ તુ માં લાયક નૉ કેવાય તારે પેટે દિકરી નૉ જન્મ આપ પછી ધરમ નૉ વકીલ બન જે,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
25,તમે આમ આદમી પાર્ટીમાં જોડાઈ જાઓ એક દિવસ જરૂર બનશો CM,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
26,ભાઈ ! તમે ઘણીનાં સીલ તોડ્યાં લાગે છે !,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
27,તુ તારુ કરને ગામની છોકરીયુ ને બગાડ છો તે તુ કાય મોટિવેશનલ સ્પીકર છો,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
28,રાંડ તારી સામે યુદ્ધ કરવા,"""Hate"",""Sexist""",Hate,Sexist,"Hate,Sexist","""Hate""","""Sexist"""
29,ઓહો તો આ છે રાન્દુ પ્રોડકસન કરવાની ફેક્ટરી,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
30,તમારા વીડીઓ સામભણી ને સારુ લાગ્યુ માઇડ ફેસ થયગયો,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
31,ચોદું બનાવે રૂપિયા આપવા નતા આને,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
32,લેસ્બીન છો એટલે લગન નથી કરવા હવે ખબર પડી મને,"""Hate"",""Sexist""",Hate,Sexist,"Hate,Sexist","""Hate""","""Sexist"""
33,"તઈ શું ને હાલી નીકડા છે સફરજન તેમાં 😂😂😂😂😂😂😂😂😂 
જોરદાર roast ho !!!!👍🏻👍🏻👍🏻👍🏻
ભૂકા કાઢી નાખ્યાં ઓલા સફરજન ના 😂😂","""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
34,બાપુ મને એમ કે હમણાં બઘડાટિ બોલસે મેં તો volume ધીમું કરી નાખીયું તું,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
35,માથા મારે લાગે હો મારા રોયા પાકિસ્તાન વાળા.....ધોકા લય આયાસે તોય... ભારત માટે એક લાઈક..કરજો બાપલીયા,"""Non-Hate"",""Positive""",Non-Hate,Positive,"Non-Hate,Positive","""Non-Hate""","""Positive"""
36,માસી ને આજે સારુ છે ને એટલે ભજન પભ સાભરવા મલુ થેકયૂ માસી,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
37,ભાવના માસી એ જીંદગી ઊપર થી સરસ ભજન સાંભળવુંછે લીંબડી થી વિજય ભાઈ એમ રાવલ,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
38,જ્યારે હોય ત્યારે આ બેન નો જગડો હોય સે તમારી આવી મજાક ને આવા જગડા ના કારણે ગુજરાત ની માં ફાટેસે જય માતાજી,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
39,સમાજ ઉપર ના જતા પ્રેમ થી કહી એ છીએ જે કાસ્ટ હોય એને એના નામ થી કેજો કાસ્ટ થી નહિ કો બાકી બીજા દરબાર ની કોઈ ભૂલ નહિ ઓકે તો રાજપૂત સમાજની ઈજ્જત ની માં નહિ ફાડો,"""Hate"",""Promoting violence""",Hate,Promoting violence,"Hate,Promoting violence","""Hate""","""Promoting violence"""
40,ચોદીની પ્રજા છે બધીયે😂😂😂,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
41,આ વાત સાચી ઈસુદાન ની જેમ ગોળ ગોળ ફેરવવા કરતા સાફ કહી દીધું,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
42,કીર્તિ ૫૦૦ માં ચોદવા ડેય છે,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
43,પિંકીના G j 14 છે તેરી બેન નો પીકો ફાટી જશે,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
44,તારા થી કાય નો થાય કીર્તિ ભોંસડીની,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
45,દીદી તમારી વાત તો સાચી પણ આપણા સમાજમાં ક્યાં છોરી ને ક્યાં નયા મળે છે અપડે અન્ય કૈં કારવુજ પડશે હો તમારા નંબર દિયો ને મને પીઝ દીદી મારે તમને પર્સોનલ માં વાત કેવી છે,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
46,તને તો મારો લન્ડ પણ સપોર્ટ નો કરે,"""Hate"",""Sexist""",Hate,Sexist,"Hate,Sexist","""Hate""","""Sexist"""
47,વાહ ભાઈ તમને સાભળવા ની બવું મજા આવે સે. બસ આવા ને આવા પોગ્રામો કરતા રહો🙏🙏🇮🇳💪,"""Hate"",""Sexist""",Hate,Sexist,"Hate,Sexist","""Hate""","""Sexist"""
,અમદાવાદ સહિત ગુજરાતમાં વિવિધ સ્થળે રથયાત્રાના આયોજન માટે રાજ્ય સરકારે પરવાનગી તો આપી છે,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
49,તારી સ્ટોરી મુકવી સે અને તને ગાળું દેવી સે,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
50,ગુજરાતી રાખી શવન્ત અને દીપક કલાલ 😂😂,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
51,સારું થયું ટિક્ટોક બંધ થઇ ગયું 😂😂. આ લુખવાતું તોહ બંધ થઇ . “ચૈન ની નીંદ નાઈ સોવ ” 😂😂. એક થી એક નમૂના છે 😂😂,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
52,આને ગુજરાતની પથારી ફેરવી છે આવા હરામીના પેટનાઓએ ઇન્સ્ટાગ્રામએ કીર્તિ પટેલને બગાડી છે🤣🤣🤣😅😅🤣🤣,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
53,ભાઈ કઈ કર્યું હોય તો એનો પણ વિડિઓ મોકલજો... તો લોકો ને ખબર પડે કે આમને ખોટા વટાવ્યા નાઈ.... કાટો કઈ ના કર્યું હોય તો એ પણ જણાવજો તો લોકો ને ખબર પડે કે આમને ગમેતેમ વાટવો તો કઈ થાય નાઈ .... સવાર પડ્યા પછી નો વિડિઓ મુકવો.... વિનંતી થી,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
54,કિર્તિ પટેલ મોટી રાંડી હે એના નાગા ફોટા પણ વાયરલ થયા હે ઇ ફોટા માં કીર્તિ કોક છોકરા ને પપ્પી ભરે હે મેટો ફોટા જોયા તમે ? 😁,"""Hate"",""Sexist""",Hate,Sexist,"Hate,Sexist","""Hate""","""Sexist"""
55,હાલતી ની થા રાડ ની હાલતી ની થા,"""Hate"",""Sexist""",Hate,Sexist,"Hate,Sexist","""Hate""","""Sexist"""
56,હા ભાઈ આપડે બેનો દિકર્યું ની ઇજત કરવા ની છે વાત સાચી છે પણ કેમ કીર્તિ ને બધે આવું થાય છે બીજા ને નઈ 🤔🤔🤔🤔🤔🤔🤔🤔,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
57,દાવૂદ નો દીકરો ને મૂક પેલા જેને તને મોટી મોટી ગારો આપી તેનું તે સુ ઉખાડી લીધું 😂😂😂😂😂😂,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
58,જા જા લોડી,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
59,હવે હાલતી ની થાણે શેળાલઈઈઈ,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
60,પોલીસ ની પાસે કોઈ સારું કામ નથી રહ્યું કે હવે આવા ટિક્ટોકયા ના ઝમેલા માં પડશે 🤔 🤔,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
61,રાજપૂતોને તો કોઈના બાપની તેવડ નથી કે હાથ અડાડી જોવે ભોંસડીની,"""Hate"",""Promoting violence""",Hate,Promoting violence,"Hate,Promoting violence","""Hate""","""Promoting violence"""
62,"વાંક ક્યાં કીર્તિ પટેલ નો હોય છે,છોકરો j ગાઇરું બોલતો તો...e તો ક્યાં બોલતી તી...આ બધાય નવરી ના છે...આવી લપ માં નો પડાય","""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
63,ઈઝત વળી છોકરી કયારે આવી રીતે બોલે નાઈ અને રખડે નાઈ સારા ઘર ની છોકરી કાયૅ રખડતા નાઈ દેખી હોય ઈઝત વળી છોકરી ૨ વાગે સુધી ઑન્લીને ના હોય ઈઝત રાખવા માં તે આપે પણ કોઈકને ઈઝત આપવી જોઈએ,"""Non-Hate"",""Positive""",Non-Hate,Positive,"Non-Hate,Positive","""Non-Hate""","""Positive"""
64,જાણી જોય ને જાતે સ્ક્રિપ્ટેડ બબાલ કરી લોકો ને ઉલ્લુ બનાવો ..વાહ કેવી દુનિયા વ્યૂ માટે આજ કલ સ્ટોરી જોરદાર લખાય છે ટે બી ગાળા ગાડી 😂😂😂😂😂,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
65,કીર્તિ પટેલ તું હરામી છે,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
66,ખટિનો થા મા,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
67,માર ખાવો છે તારે,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
68,છોટાળી વરા સમજા છો,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
69,રામદ્વા નુ બંધ કર,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
70,ઉપડી મૂકે તને,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
71,બજવુ હોય તો અવિ જા જે,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
72,બાયડી જેવો છે સાવ,"""Hate"",""Sexist""",Hate,Sexist,"Hate,Sexist","""Hate""","""Sexist"""
73,ધન્યવાદ ખુબ સરસ તમારા જેવા CM ની જરૂર છે તમે નહી તો તમારા જેવો કોઈ માણસ ની જરૂર છે,"""Non-Hate"",""Positive""",Non-Hate,Positive,"Non-Hate,Positive","""Non-Hate""","""Positive"""
74,થાએ કરી કરી જી બારોબાર,"""Hate"",""Promoting violence""",Hate,Promoting violence,"Hate,Promoting violence","""Hate""","""Promoting violence"""
75,સારા માણસની જરૂર નથી પહેલા ગૂડાની તાલીમ લેવી પડે સીએમ બની સકાય,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
76,શાંતિ રાખજે નકર માજા નય આવે,"""Hate"",""Promoting violence""",Hate,Promoting violence,"Hate,Promoting violence","""Hate""","""Promoting violence"""
77,હોય એટલું લાય ને આવી જજે,"""Hate"",""Promoting violence""",Hate,Promoting violence,"Hate,Promoting violence","""Hate""","""Promoting violence"""
78,તારુ કામ કર ને,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
79,ટોપા,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
80,બબુચક,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
81,ટુથલિયો પોલીસમેન,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
82,ડોબબો,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
83,ખાપરો-કોળિયો,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
84,સરકબમનો,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
85,બુધાલાલ,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
86,"ભાઈ,આ સંજય રાવલ ના કુટુંબ ને જ મુખ્યમંત્રી થી માંડી મંત્રીઓ બનાવી દો, ગુજરાત નુ સુકાન જ સોંપી દો,શું જોઈને ગુજરાત ને ગુજરાત ને એમનો આગવો બગીચો માનતા હશે....","""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
87,અળવીતરો,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
88,અક્કલમથ્થો,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
89,અક્કલ નો ઔથમીર,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
90,નીચ,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
91,સાહેબ તમે જે દિવસે ગુજરાતના મુખ્યમંત્રી શ્રી માટે ઉભા રહેશો તે દિવસે સૌથી પહેલો મત હું તમને આપીશ જય જય ગરવી ગુજરાત,"""Non-Hate"",""Positive""",Non-Hate,Positive,"Non-Hate,Positive","""Non-Hate""","""Positive"""
92,નમૂનો,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
93,લબાડ,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
94,સાહેબ cm બનવું હોય તો સાહેબ 2022 આવી ગયું છે સાહેબ તયારી સાલું કરી દો સાહેબ અમે તમારી જોડે જ છી 🙏👍,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
95,લુકખહો,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
96,સારું છે એન્ગ્રેજોં આ સતી પ્રથા દૂર કરી નાય તો જીવતાં જીવત કેટલાય બાળકો બાપ ની જોડે માં બી ખોયે બેસટ💯💯,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
97,તારી માં નો ​ભોસરો,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
98,ભોસરીનો,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
99,સંજય ભાઇ ભગવાને શું mind આપ્યું છે તમને,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
100,"એક નમનર નો ફેકુ માણસ છે આ. એક વાર ફેસબુક માં એવું ફેંક્યું કે હું ભારત નો.PM બનીશ. અમે મેં એના પર અમુક સવાલ કર્યા તો ભયમુક્ત જીવને એ કોમેન્ટ ડીલીટ મારી દીધી અને હિંમત કરી ને મને ફેસબુક પર બ્લોક કરી દીધો. આ છે એની હિંમત ની વાતો અને ભયમુક્ત જીવન😎😂. આ માણસ અંદર થી એકદમ ખોખલું અને ડરેલું છે. લોકો ની બૌદ્ધિક ભાવનાઓ સાથે રમત કરી ને લાખોપતિ બની ગયા છે. એના વિચાર મુજબ પત્ની એ ઘરમાં નવા કપડાં પેરી ને કચરા પોતા કરવા જોઈએ, શુ ખરેખર એવું કોઈ કરતું હશે ?? લોજીકલી વિચારીએ તો એવું ન હોય. આ લિંક ચેક કરી લેજો👍","""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
101,બેસ્ટ હિરો ઓફ ગુજરાત,"""Non-Hate"",""Positive""",Non-Hate,Positive,"Non-Hate,Positive","""Non-Hate""","""Positive"""
102,સર તમે cm બનજો અને બધા ભ્રષ્ટાચાર કામ બંધ કરાવજો👍,"""Non-Hate"",""Positive""",Non-Hate,Positive,"Non-Hate,Positive","""Non-Hate""","""Positive"""
103,ભરવો,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
104,ભડવો,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
105,સંજયભાઈ તમારું પ્રવચન જોરદાર છે તમારા દરેક વીડિયો માંથી જીવન જીવવાની સાચી જડીબુટ્ટી મળે છે. આજના જમાનામાં દરેક માટે તમારો વડિયો માર્ગ દર્શક રૂપ છે. તમે સ્પષ્ટ વક્તા છો . તમારી વાણી દરેક ના દિલને સ્પર્શી જાય તેવી છે. ખરેખર તમારે તો દેશ ના c.m બનવુ જોઇએ. ભાઈ તમારા દરેક વીડિયો લાઈક કરી આમલમાં મૂકવા જેવા છે.,"""Non-Hate"",""Positive""",Non-Hate,Positive,"Non-Hate,Positive","""Non-Hate""","""Positive"""
106,આમ આદમી પાર્ટી તરફ થી આવજો સાહેબ એટલે આપ આવીજ જસો કેમ આપ પણ એક શિક્ષિત સોચ,"""Non-Hate"",""Positive""",Non-Hate,Positive,"Non-Hate,Positive","""Non-Hate""","""Positive"""
107,કુત્તરો,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
108,ગાંડો,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
109,ચૂત મરીનો,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
110,રંડી નો,"""Hate"",""Sexist""",Hate,Sexist,"Hate,Sexist","""Hate""","""Sexist"""
111,તમારી વાત સાભણી મારી જિંદગી સુધરી જશે 100 %,"""Non-Hate"",""Positive""",Non-Hate,Positive,"Non-Hate,Positive","""Non-Hate""","""Positive"""
112,શિક્ષણ પદ્ધતિ પર ના તમારા વિચાર સાચા છે ... એકદમ બદલાય નઈ ... પણ ચર્ચા થવી જોઈએ ... જેટલી ચર્ચા વધારે થશે એટલા સારા બદલાવ લાવી શકાશે,"""Non-Hate"",""Positive""",Non-Hate,Positive,"Non-Hate,Positive","""Non-Hate""","""Positive"""
113,વાઘરીનો,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
114,વાઘરી ના પેટનો,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
115,કૂતરીના પેટનો,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
116,સર જે દિવસે તમે મુખ્યમંત્રી બન્યા તે દીવસ થી કોઈ પણ મુખ્યમંત્રી ના બદલાય એવી મારી દુઆ સાહેબ સલામ છે સાહેબ તમને,"""Non-Hate"",""Positive""",Non-Hate,Positive,"Non-Hate,Positive","""Non-Hate""","""Positive"""
117,ભાઈ તું તારા અને તારી બેન વખાણ કરવાનું છોડી દે એટલે તું ગુજરાત નો cm જ છો CM બનીશ પણ પણ નેક્સટ જન્મ માં,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
118,સંજય સર . હુ ખાનગી સ્પોર્ટસ શિક્ષક છુ બાળકો ને એક જ વસ્તુ શિખવાડુ છુ કે સ્કુલ ના કંપાઉન્ડ ની બહાર ઘણી ચેલેજ છે જે સ્વીકારવી પડશે . કોઈ પણ બાળક માતા પિતા ની આંગળી પકડી ને જીવન જીવી શકતું નથી તેણે પોતાના પગ પર ઊભા થવું જ પડે . આજકાલ વાલીઓ બાળકો ને યોગ્ય શિક્ષણ આપતા જ નથી .,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
119,સાહેબ અત્યારે મોબાઈલ મા જ ભણવાનું આવેશ..સાહેબ તે ઓનલાઈન ભણવાનું ચાલે નહી..સાહેબ,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
120,હરામીના પેટનો,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
121,ધન્યવાદ અમને નિંદર માથી ઉઠાડવા માટે,"""Non-Hate"",""Positive""",Non-Hate,Positive,"Non-Hate,Positive","""Non-Hate""","""Positive"""
